quarter,region,house_type,avg_sqm_price_real,n_transactions,cumulative_max,drawdown_pct
1992Q2,Jutland,Summerhouse,10255.5,109,10420.2,-1.58
1992Q3,Jutland,Summerhouse,10450.0,79,10450.0,0.0
1992Q4,Jutland,Summerhouse,9756.6,67,10450.0,-6.64
1993Q1,Jutland,Summerhouse,10964.1,66,10964.1,0.0
1993Q2,Jutland,Summerhouse,9386.7,130,10964.1,-14.39
1993Q3,Jutland,Summerhouse,10743.0,117,10964.1,-2.02
1993Q4,Jutland,Summerhouse,10593.4,91,10964.1,-3.38
1994Q1,Jutland,Summerhouse,10483.6,105,10964.1,-4.38
1994Q2,Jutland,Summerhouse,10387.7,160,10964.1,-5.26
1994Q3,Jutland,Summerhouse,10389.9,120,10964.1,-5.24
1994Q4,Jutland,Summerhouse,10518.1,83,10964.1,-4.07
1995Q1,Jutland,Summerhouse,10464.8,114,10964.1,-4.55
1995Q2,Jutland,Summerhouse,10824.1,174,10964.1,-1.28
1995Q3,Jutland,Summerhouse,10988.7,152,10988.7,0.0
1995Q4,Jutland,Summerhouse,9957.9,119,10988.7,-9.38
1996Q1,Jutland,Summerhouse,10669.7,106,10988.7,-2.9
1996Q2,Jutland,Summerhouse,10979.2,230,10988.7,-0.09
1996Q3,Jutland,Summerhouse,10529.4,197,10988.7,-4.18
1996Q4,Jutland,Summerhouse,10796.0,161,10988.7,-1.75
1997Q1,Jutland,Summerhouse,11472.3,190,11472.3,0.0
1997Q2,Jutland,Summerhouse,10897.0,269,11472.3,-5.01
1997Q3,Jutland,Summerhouse,11574.7,215,11574.7,0.0
1997Q4,Jutland,Summerhouse,11519.7,166,11574.7,-0.47
1998Q1,Jutland,Summerhouse,11763.6,171,11763.6,0.0
1998Q2,Jutland,Summerhouse,11785.4,309,11785.4,0.0
1998Q3,Jutland,Summerhouse,11639.6,239,11785.4,-1.24
1998Q4,Jutland,Summerhouse,12397.1,180,12397.1,0.0
1999Q1,Jutland,Summerhouse,11656.8,222,12397.1,-5.97
1999Q2,Jutland,Summerhouse,11772.3,354,12397.1,-5.04
1999Q3,Jutland,Summerhouse,12724.0,241,12724.0,0.0
1999Q4,Jutland,Summerhouse,12527.4,192,12724.0,-1.54
2000Q1,Jutland,Summerhouse,12498.4,214,12724.0,-1.77
2000Q2,Jutland,Summerhouse,12016.2,303,12724.0,-5.56
2000Q3,Jutland,Summerhouse,12277.7,267,12724.0,-3.51
2000Q4,Jutland,Summerhouse,14283.8,220,14283.8,0.0
2001Q1,Jutland,Summerhouse,12886.7,189,14283.8,-9.78
2001Q2,Jutland,Summerhouse,12881.5,321,14283.8,-9.82
2001Q3,Jutland,Summerhouse,13123.8,264,14283.8,-8.12
2001Q4,Jutland,Summerhouse,14481.5,476,14481.5,0.0
2002Q1,Jutland,Summerhouse,12977.2,254,14481.5,-10.39
2002Q2,Jutland,Summerhouse,13312.5,380,14481.5,-8.07
2002Q3,Jutland,Summerhouse,13745.0,401,14481.5,-5.09
