zip_code,city,region,n_years,price_level,cagr_real,volatility,max_drawdown,liquidity_log,growth_recent,pca1,pca2,tsne1,tsne2,cluster,cluster_label
3310,Alsted,Zealand,33,21694.7,0.0257,1.6063,-89.1342,3.7687,0.0777,-3.1943,2.6613,-31.2131,-6.0756,1,Precio bajo / plano / volatil
3320,Skævinge,Zealand,33,22007.8,0.0217,0.2979,-48.4895,3.7938,-0.0258,0.3369,0.242,16.61,-12.397,0,Precio alto / dinamico / estable
3360,Liseleje,Zealand,33,29077.4,0.0343,0.1736,-36.0621,3.521,-0.0205,1.8042,0.6276,26.7395,-4.2174,0,Precio alto / dinamico / estable
3370,Melby,Zealand,33,25757.7,0.0437,0.1579,-39.4129,3.7434,0.3005,2.2638,1.9527,20.2159,-4.7942,0,Precio alto / dinamico / estable
3390,Hundested,Zealand,33,22888.7,0.0196,0.2436,-45.7045,4.6479,0.0209,0.8884,-0.295,9.986,5.7285,0,Precio alto / dinamico / estable
3400,Hillerød,Zealand,33,29472.6,0.0288,0.1315,-44.3272,5.5335,0.0451,2.2144,-0.5156,27.1754,8.9928,0,Precio alto / dinamico / estable
3450,Allerød,Zealand,33,33238.8,0.0303,0.1256,-37.1555,4.9138,0.0867,2.5371,-0.001,28.9749,5.0375,0,Precio alto / dinamico / estable
3460,Birkerød,Zealand,33,35692.9,0.0326,0.12,-33.0032,4.9244,0.007,2.8296,-0.2494,30.44,5.2621,0,Precio alto / dinamico / estable
3480,Fredensborg,Zealand,33,29909.8,0.0332,0.1294,-34.9922,4.4886,0.0807,2.4007,0.2956,27.6268,2.5851,0,Precio alto / dinamico / estable
3500,Værløse,Zealand,33,36275.8,0.0332,0.0831,-27.0573,4.9571,-0.0007,3.1743,-0.3879,31.2797,5.837,0,Precio alto / dinamico / estable
3520,Farum,Zealand,33,33100.9,0.0307,0.0992,-39.338,4.7166,0.0461,2.4164,-0.0262,28.6346,3.8162,0,Precio alto / dinamico / estable
3540,Lynge,Zealand,33,26210.6,0.0267,0.2796,-61.6504,3.5335,-0.0354,0.1791,0.7321,2.084,-12.6725,0,Precio alto / dinamico / estable
3550,Slangerup,Zealand,33,22716.5,0.0118,0.1874,-51.4955,4.3579,0.0038,0.3849,-0.4883,0.0296,1.5,0,Precio alto / dinamico / estable
3600,Frederikssund,Zealand,33,25213.5,0.0273,0.2208,-49.6776,4.9301,0.0016,1.285,-0.2019,9.6763,8.061,0,Precio alto / dinamico / estable
3630,Jægerspris,Zealand,33,19842.3,0.0195,0.1519,-44.1087,4.9805,0.1443,1.2686,-0.2293,12.2468,7.1077,0,Precio alto / dinamico / estable
3650,Alstykke,Zealand,33,25516.0,0.0206,0.3534,-55.6112,4.6288,0.2308,0.62,0.8237,5.2303,-3.1668,0,Precio alto / dinamico / estable
3660,Stenløse,Zealand,33,26106.9,0.0291,0.139,-37.4247,4.4348,0.0133,1.8709,-0.0591,24.5116,1.9275,0,Precio alto / dinamico / estable
3670,Veksø Sjælland,Zealand,33,26375.4,0.0274,0.1967,-48.7713,3.0093,-0.0841,0.6459,0.6172,20.7764,-12.7681,0,Precio alto / dinamico / estable
3700,Rønne,Bornholm,29,14657.8,0.0035,0.2934,-47.1554,5.1163,-0.2705,-0.3962,-2.2308,-7.1017,13.8798,1,Precio bajo / plano / volatil
3720,Aakirkeby,Bornholm,29,11974.7,0.021,0.2152,-49.7227,4.1182,0.2056,0.348,0.6729,9.2789,-5.4701,0,Precio alto / dinamico / estable
3730,Nexø,Bornholm,29,15550.4,0.0136,0.2685,-61.2844,4.4296,0.0556,-0.3585,-0.0938,1.2441,-2.9156,1,Precio bajo / plano / volatil
3740,Svaneke,Bornholm,29,21776.8,0.0308,0.3323,-65.7553,3.3625,0.2529,0.0734,2.1313,3.5364,-15.0329,0,Precio alto / dinamico / estable
3760,Gudhjem,Bornholm,29,16094.2,0.0336,0.2644,-57.1023,3.3565,0.1906,0.334,1.7609,2.2866,-16.3467,0,Precio alto / dinamico / estable
3770,Allinge,Bornholm,29,21995.8,0.037,0.1992,-43.4382,3.9826,0.397,1.8298,2.042,17.7694,-4.4097,0,Precio alto / dinamico / estable
3790,Hasle,Bornholm,29,15130.7,0.0241,0.2393,-52.1675,3.5622,0.08,0.1342,0.7623,-0.9492,-15.2154,0,Precio alto / dinamico / estable
4000,Roskilde,Zealand,33,31492.7,0.0217,0.226,-41.5306,6.0814,-0.0149,2.0375,-1.1935,15.3977,12.8143,0,Precio alto / dinamico / estable
4030,Tune,Zealand,33,26227.4,0.0292,0.1404,-41.6783,3.6942,0.0773,1.5124,0.6821,24.1576,-4.3858,0,Precio alto / dinamico / estable
4040,Jyllinge,Zealand,33,25148.3,0.0312,0.1123,-42.5913,4.4614,0.1303,1.9078,0.4505,20.7388,-0.6978,0,Precio alto / dinamico / estable
4050,Skibby,Zealand,33,17700.0,0.0204,0.2046,-49.9844,4.3813,0.03,0.5278,-0.1137,9.0404,2.4686,0,Precio alto / dinamico / estable
4060,Kirke Såby,Zealand,33,17233.0,0.0176,0.1678,-60.6885,3.4543,-0.0891,-0.3594,-0.0108,-3.5487,-8.673,1,Precio bajo / plano / volatil
4070,Kirke Hyllinge,Zealand,33,19595.7,0.0256,0.1405,-47.4013,4.4459,0.05,1.109,0.0115,10.4813,3.4229,0,Precio alto / dinamico / estable
