zip_code,city,region,n_years,growth_recent,liquidity_log,price_level,max_drawdown,R,F,M,RFM_score,RFM_code,rfm_segmento
4130,Viby Sjælland,Zealand,33,-0.0552,3.7355,21732.6,-47.9199,2,2,4,8,224,"Premium frio (caro, sin momentum)"
4140,Borup,Zealand,33,0.2645,3.7491,22420.6,-54.6501,5,3,4,12,534,Intermedio
4160,Herlufmagle,Zealand,33,-0.1183,3.5396,12164.9,-48.2279,2,2,2,6,222,"Periferico dormido (iliquido, frio)"
4171,Glumsø,Zealand,33,0.0624,3.3547,13245.4,-45.5955,4,2,2,8,422,"Emergente (momentum, ticket medio-bajo)"
4173,Fjenneslev,Zealand,33,0.1859,2.8665,13356.5,-61.4172,5,1,2,8,512,"Emergente (momentum, ticket medio-bajo)"
4180,Sorø,Zealand,33,0.1214,4.6858,21654.6,-67.469,5,4,4,13,544,Champions (premium caliente-liquido)
4200,Slagelse,Zealand,33,-0.0429,5.8078,18102.5,-70.0648,3,5,4,12,354,Intermedio
4220,Korsør,Zealand,33,-0.169,4.8416,13921.1,-48.4699,1,5,3,9,153,Intermedio
4230,Skælskør,Zealand,33,-0.0478,4.1645,14239.2,-49.8098,2,3,3,8,233,Intermedio
4241,Vemmelev,Zealand,33,-0.1523,3.318,11789.3,-52.3072,1,1,2,4,112,"Periferico dormido (iliquido, frio)"
4243,Rude,Zealand,33,0.1581,2.8279,16685.6,-50.4722,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
4250,Fuglebjerg,Zealand,33,0.0207,3.3472,11757.1,-59.7269,3,2,2,7,322,Intermedio
4261,Dalmose,Zealand,33,0.0633,2.8456,9100.3,-73.3008,4,1,1,6,411,"Emergente (momentum, ticket medio-bajo)"
4262,Sandved,Zealand,33,-0.3894,2.7745,10533.8,-60.2881,1,1,1,3,111,"Periferico dormido (iliquido, frio)"
4270,Høng,Zealand,33,-0.1244,3.8013,14913.4,-43.755,2,3,3,8,233,Intermedio
4281,Gørlev,Zealand,33,-0.0362,4.1009,14531.9,-55.4086,3,3,3,9,333,Intermedio
4291,Ruds Vedby,Zealand,33,-0.3323,3.0827,13101.1,-55.0072,1,1,2,4,112,"Periferico dormido (iliquido, frio)"
4293,Dianalund,Zealand,33,-0.0602,3.7406,11725.1,-55.238,2,2,2,6,222,"Periferico dormido (iliquido, frio)"
4295,Stenlille,Zealand,33,-0.1948,3.3961,13906.4,-60.9254,1,2,3,6,123,"Periferico dormido (iliquido, frio)"
4300,Holbæk,Zealand,33,0.0766,5.4556,23228.4,-51.22,4,5,4,13,454,Champions (premium caliente-liquido)
4305,Orø,Zealand,33,0.0362,3.2499,16165.7,-51.1856,4,1,3,8,413,"Emergente (momentum, ticket medio-bajo)"
4320,Lejre,Zealand,33,0.1193,3.8862,24308.2,-44.7374,5,3,4,12,534,Intermedio
4330,Hvalsø,Zealand,33,-0.0336,3.8174,24161.4,-52.7242,3,3,4,10,334,Intermedio
4340,Tølløse,Zealand,33,0.0601,3.89,16331.9,-59.5774,4,3,3,10,433,"Emergente (momentum, ticket medio-bajo)"
4370,Store Merløse,Zealand,33,-0.3666,2.8734,14633.1,-69.3611,1,1,3,5,113,"Periferico dormido (iliquido, frio)"
4390,Vipperød,Zealand,33,0.0006,3.3631,17151.0,-42.4688,3,2,3,8,323,Intermedio
4400,Kalundborg,Zealand,33,0.1372,5.2821,17014.7,-42.0957,5,5,3,13,553,"Emergente (momentum, ticket medio-bajo)"
4420,Regstrup,Zealand,33,0.2149,3.3037,14982.7,-57.6924,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
4440,Mørkøv,Zealand,33,-0.1458,3.6117,16563.2,-69.029,2,2,3,7,223,"Periferico dormido (iliquido, frio)"
4450,Jyderup,Zealand,33,-0.2011,3.8417,13656.8,-58.4557,1,3,3,7,133,Intermedio
4470,Svebølle,Zealand,33,-0.0071,3.28,9860.2,-60.6529,3,1,1,5,311,Intermedio
4480,Store Fuglede,Zealand,33,0.1887,3.4072,18013.1,-60.3134,5,2,4,11,524,Intermedio
4490,Jerslev Sjælland,Zealand,33,0.0274,3.0387,10566.8,-60.5166,4,1,1,6,411,"Emergente (momentum, ticket medio-bajo)"
4500,Nykøbing Sj,Zealand,33,0.0415,5.3074,22008.8,-50.4475,4,5,4,13,454,Champions (premium caliente-liquido)
4520,Svinninge,Zealand,33,0.0375,3.5571,12878.4,-61.2184,4,2,2,8,422,"Emergente (momentum, ticket medio-bajo)"
4532,Gislinge,Zealand,33,-0.1224,2.8954,15381.0,-69.7711,2,1,3,6,213,"Periferico dormido (iliquido, frio)"
4534,Hørve,Zealand,33,-0.0132,3.4359,15538.5,-68.59,3,2,3,8,323,Intermedio
4540,Fårevejle,Zealand,33,-0.0775,4.3008,23288.1,-32.1858,2,4,4,10,244,"Premium frio (caro, sin momentum)"
4550,Asnæs,Zealand,33,0.0505,3.9547,17690.0,-67.0086,4,3,4,11,434,Intermedio
4560,Vig,Zealand,33,0.2064,4.2971,20424.4,-42.8494,5,4,4,13,544,Champions (premium caliente-liquido)
4571,Grevinge,Zealand,33,-0.0717,3.6174,13920.0,-47.78,2,2,3,7,223,"Periferico dormido (iliquido, frio)"
4573,Højby,Zealand,33,0.3905,4.3828,23935.9,-41.3213,5,4,4,13,544,Champions (premium caliente-liquido)
4581,Rørvig,Zealand,33,0.2314,3.863,31291.1,-41.4246,5,3,5,13,535,Intermedio
4583,Sjællands Odde,Zealand,33,0.1405,4.0729,23586.3,-38.6244,5,3,4,12,534,Intermedio
4591,Føllenslev,Zealand,33,0.4444,3.2891,16716.8,-49.5444,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
4593,Eskebjerg,Zealand,33,0.2522,3.4882,11995.5,-62.2549,5,2,2,9,522,"Emergente (momentum, ticket medio-bajo)"
4600,Køge,Zealand,33,0.0379,5.4567,28635.9,-38.9191,4,5,5,14,455,Champions (premium caliente-liquido)
4621,Gadstrup,Zealand,33,-0.0862,3.2731,23116.0,-45.7232,2,1,4,7,214,"Premium frio (caro, sin momentum)"
4622,Havdrup,Zealand,33,0.0653,3.64,23495.0,-66.8238,4,2,4,10,424,Intermedio
4623,Lille Skensved,Zealand,33,-0.0356,3.6858,23006.5,-51.4231,3,2,4,9,324,Intermedio
