quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
2016Q1,2016,Bornholm,10936.8,95,2.6,8520.504074074073,128.36
2016Q2,2016,Bornholm,11208.3,138,2.6,8520.504074074073,131.55
2016Q3,2016,Bornholm,10582.5,152,2.6,8520.504074074073,124.2
2016Q4,2016,Bornholm,14400.0,101,2.6,8520.504074074073,169.0
2017Q3,2017,Bornholm,13680.8,206,2.3,8520.504074074073,160.56
2017Q4,2017,Bornholm,11063.0,212,2.3,8520.504074074073,129.84
2018Q1,2018,Bornholm,12457.7,142,2.1,8520.504074074073,146.21
2018Q2,2018,Bornholm,11663.9,175,2.1,8520.504074074073,136.89
2018Q3,2018,Bornholm,11177.8,222,2.1,8520.504074074073,131.19
2018Q4,2018,Bornholm,13477.3,212,2.1,8520.504074074073,158.17
2019Q1,2019,Bornholm,10932.4,180,1.4,8520.504074074073,128.31
2019Q2,2019,Bornholm,12692.8,243,1.4,8520.504074074073,148.97
2019Q3,2019,Bornholm,12253.1,249,1.4,8520.504074074073,143.81
2019Q4,2019,Bornholm,13258.3,213,1.4,8520.504074074073,155.6
2020Q1,2020,Bornholm,18492.2,233,1.1,8520.504074074073,217.03
2020Q2,2020,Bornholm,12151.5,265,1.1,8520.504074074073,142.61
2020Q3,2020,Bornholm,15879.4,312,1.1,8520.504074074073,186.37
2020Q4,2020,Bornholm,13786.3,313,1.1,8520.504074074073,161.8
2021Q1,2021,Bornholm,15270.0,309,1.5,8520.504074074073,179.21
2021Q2,2021,Bornholm,16945.5,333,1.5,8520.504074074073,198.88
2021Q3,2021,Bornholm,16065.2,271,1.5,8520.504074074073,188.55
2021Q4,2021,Bornholm,16809.0,231,1.5,8520.504074074073,197.28
2022Q1,2022,Bornholm,14614.8,234,3.7,8520.504074074073,171.52
2022Q2,2022,Bornholm,17508.8,231,3.7,8520.504074074073,205.49
2022Q3,2022,Bornholm,16688.4,268,3.7,8520.504074074073,195.86
2022Q4,2022,Bornholm,14629.1,152,3.7,8520.504074074073,171.69
2023Q1,2023,Bornholm,13808.6,206,4.8,8520.504074074073,162.06
2023Q2,2023,Bornholm,16066.7,213,4.8,8520.504074074073,188.57
2023Q3,2023,Bornholm,14609.4,197,4.8,8520.504074074073,171.46
2023Q4,2023,Bornholm,15652.5,264,4.8,8520.504074074073,183.7
2024Q1,2024,Bornholm,14363.0,190,4.3,8520.504074074073,168.57
2024Q2,2024,Bornholm,15495.0,246,4.3,8520.504074074073,181.85
2024Q3,2024,Bornholm,15303.3,197,4.3,8520.504074074073,179.61
2024Q4,2024,Bornholm,11986.4,8,,8520.504074074073,140.68
1992Q1,1992,Fyn & islands,19825.3,419,10.1,17024.67935334798,116.45
1992Q2,1992,Fyn & islands,9850.0,345,10.1,17024.67935334798,57.86
1992Q3,1992,Fyn & islands,23999.4,483,10.1,17024.67935334798,140.97
1992Q4,1992,Fyn & islands,14424.0,354,10.1,17024.67935334798,84.72
1993Q1,1993,Fyn & islands,12663.4,320,8.2,17024.67935334798,74.38
1993Q2,1993,Fyn & islands,10317.6,390,8.2,17024.67935334798,60.6
1993Q3,1993,Fyn & islands,11408.7,449,8.2,17024.67935334798,67.01
1993Q4,1993,Fyn & islands,14286.8,458,8.2,17024.67935334798,83.92
1994Q1,1994,Fyn & islands,12772.2,461,8.4,17024.67935334798,75.02
1994Q2,1994,Fyn & islands,11210.0,518,8.4,17024.67935334798,65.85
1994Q3,1994,Fyn & islands,13620.3,466,8.4,17024.67935334798,80.0
1994Q4,1994,Fyn & islands,10918.0,387,8.4,17024.67935334798,64.13
1995Q1,1995,Fyn & islands,8774.7,395,9.1,17024.67935334798,51.54
1995Q2,1995,Fyn & islands,15960.3,586,9.1,17024.67935334798,93.75
1995Q3,1995,Fyn & islands,9964.6,489,9.1,17024.67935334798,58.53
1995Q4,1995,Fyn & islands,17878.9,493,9.1,17024.67935334798,105.02
1996Q1,1996,Fyn & islands,11644.2,426,7.8,17024.67935334798,68.4
1996Q2,1996,Fyn & islands,11890.5,578,7.8,17024.67935334798,69.84
1996Q3,1996,Fyn & islands,12196.6,522,7.8,17024.67935334798,71.64
1996Q4,1996,Fyn & islands,13912.6,503,7.8,17024.67935334798,81.72
1997Q1,1997,Fyn & islands,12127.8,444,7.2,17024.67935334798,71.24
1997Q2,1997,Fyn & islands,11406.4,617,7.2,17024.67935334798,67.0
1997Q3,1997,Fyn & islands,13618.7,635,7.2,17024.67935334798,79.99
1997Q4,1997,Fyn & islands,12017.4,549,7.2,17024.67935334798,70.59
1998Q1,1998,Fyn & islands,11537.0,544,6.3,17024.67935334798,67.77
1998Q2,1998,Fyn & islands,13513.0,710,6.3,17024.67935334798,79.37
1998Q3,1998,Fyn & islands,19636.7,632,6.3,17024.67935334798,115.34
1998Q4,1998,Fyn & islands,16235.5,540,6.3,17024.67935334798,95.36
1999Q1,1999,Fyn & islands,11845.0,495,6.6,17024.67935334798,69.58
1999Q2,1999,Fyn & islands,13898.6,697,6.6,17024.67935334798,81.64
1999Q3,1999,Fyn & islands,13736.6,603,6.6,17024.67935334798,80.69
1999Q4,1999,Fyn & islands,15166.7,518,6.6,17024.67935334798,89.09
2000Q1,2000,Fyn & islands,25621.0,729,7.3,17024.67935334798,150.49
2000Q2,2000,Fyn & islands,18822.2,694,7.3,17024.67935334798,110.56
2000Q3,2000,Fyn & islands,13668.7,593,7.3,17024.67935334798,80.29
2000Q4,2000,Fyn & islands,16279.5,540,7.3,17024.67935334798,95.62
2001Q1,2001,Fyn & islands,13866.2,585,7.0,17024.67935334798,81.45
2001Q2,2001,Fyn & islands,15738.0,677,7.0,17024.67935334798,92.44
2001Q3,2001,Fyn & islands,12678.7,598,7.0,17024.67935334798,74.47
2001Q4,2001,Fyn & islands,15976.0,573,7.0,17024.67935334798,93.84
2002Q1,2002,Fyn & islands,14390.6,618,6.7,17024.67935334798,84.53
2002Q2,2002,Fyn & islands,14803.7,746,6.7,17024.67935334798,86.95
2002Q3,2002,Fyn & islands,17717.1,713,6.7,17024.67935334798,104.07
2002Q4,2002,Fyn & islands,18135.2,635,6.7,17024.67935334798,106.52
2003Q1,2003,Fyn & islands,18006.9,722,5.1,17024.67935334798,105.77
2003Q2,2003,Fyn & islands,19669.3,841,5.1,17024.67935334798,115.53
2003Q3,2003,Fyn & islands,20892.9,858,5.1,17024.67935334798,122.72
