quarter,n_transactions,year,yield_avg,bond_yield_lag2q,periodo_macro,volume_bond_corr
2001Q1,6898,2001,7.05,7.33,Boom Pre-Crisis,-0.571
2001Q2,8247,2001,7.05,7.33,Boom Pre-Crisis,0.11
2001Q3,7263,2001,7.05,7.05,Boom Pre-Crisis,0.085
2001Q4,7343,2001,7.05,7.05,Boom Pre-Crisis,-0.171
2002Q1,7219,2002,6.69,7.05,Boom Pre-Crisis,-0.341
2002Q2,8836,2002,6.69,7.05,Boom Pre-Crisis,-0.369
2002Q3,8431,2002,6.69,6.69,Boom Pre-Crisis,-0.497
2002Q4,7492,2002,6.69,6.69,Boom Pre-Crisis,-0.218
2003Q1,7850,2003,5.11,6.69,Boom Pre-Crisis,0.019
2003Q2,9268,2003,5.11,6.69,Boom Pre-Crisis,-0.404
2003Q3,9270,2003,5.11,5.11,Boom Pre-Crisis,-0.557
2003Q4,8929,2003,5.11,5.11,Boom Pre-Crisis,-0.544
2004Q1,9749,2004,5.26,5.11,Boom Pre-Crisis,-0.596
2004Q2,11075,2004,5.26,5.11,Boom Pre-Crisis,-0.707
2004Q3,6805,2004,5.26,5.26,Boom Pre-Crisis,-0.409
2004Q4,9810,2004,5.26,5.26,Boom Pre-Crisis,-0.299
2005Q1,10524,2005,4.36,5.26,Boom Pre-Crisis,-0.088
2005Q2,13307,2005,4.36,5.26,Boom Pre-Crisis,0.102
2005Q3,11830,2005,4.36,4.36,Boom Pre-Crisis,-0.305
2005Q4,11581,2005,4.36,4.36,Boom Pre-Crisis,-0.367
2006Q1,11566,2006,5.14,4.36,Boom Pre-Crisis,-0.383
2006Q2,12277,2006,5.14,4.36,Boom Pre-Crisis,-0.459
2006Q3,10421,2006,5.14,5.14,Boom Pre-Crisis,-0.358
2006Q4,9538,2006,5.14,5.14,Boom Pre-Crisis,-0.326
2007Q1,10843,2007,5.7,5.14,GFC 2007-2012,-0.284
2007Q2,12251,2007,5.7,5.14,GFC 2007-2012,-0.588
2007Q3,10777,2007,5.7,5.7,GFC 2007-2012,-0.528
2007Q4,10293,2007,5.7,5.7,GFC 2007-2012,-0.567
2008Q1,10094,2008,6.52,5.7,GFC 2007-2012,-0.592
2008Q2,10891,2008,6.52,5.7,GFC 2007-2012,-0.168
2008Q3,8214,2008,6.52,6.52,GFC 2007-2012,-0.687
2008Q4,6582,2008,6.52,6.52,GFC 2007-2012,-0.915
2009Q1,6568,2009,5.5,6.52,GFC 2007-2012,-0.96
2009Q2,8687,2009,5.5,6.52,GFC 2007-2012,-0.903
2009Q3,7733,2009,5.5,5.5,GFC 2007-2012,-0.638
2009Q4,8205,2009,5.5,5.5,GFC 2007-2012,-0.499
2010Q1,9013,2010,4.53,5.5,GFC 2007-2012,-0.475
2010Q2,10428,2010,4.53,5.5,GFC 2007-2012,-0.559
2010Q3,9988,2010,4.53,4.53,GFC 2007-2012,-0.703
2010Q4,10416,2010,4.53,4.53,GFC 2007-2012,-0.709
2011Q1,8632,2011,4.75,4.53,GFC 2007-2012,-0.406
2011Q2,9091,2011,4.75,4.53,GFC 2007-2012,-0.364
2011Q3,8484,2011,4.75,4.75,GFC 2007-2012,-0.124
2011Q4,8282,2011,4.75,4.75,GFC 2007-2012,0.167
2012Q1,8355,2012,3.66,4.75,GFC 2007-2012,0.296
2012Q2,9881,2012,3.66,4.75,GFC 2007-2012,-0.497
2012Q3,9571,2012,3.66,3.66,GFC 2007-2012,-0.351
2012Q4,9268,2012,3.66,3.66,GFC 2007-2012,-0.497
2013Q1,8568,2013,3.48,3.66,Recovery,-0.296
2013Q2,10938,2013,3.48,3.66,Recovery,-0.479
2013Q3,10061,2013,3.48,3.48,Recovery,-0.482
2013Q4,10079,2013,3.48,3.48,Recovery,-0.376
2014Q1,10311,2014,3.06,3.48,Recovery,-0.057
2014Q2,11835,2014,3.06,3.48,Recovery,-0.524
2014Q3,11820,2014,3.06,3.06,Recovery,-0.65
2014Q4,11854,2014,3.06,3.06,Recovery,-0.681
2015Q1,13363,2015,2.78,3.06,Recovery,-0.715
2015Q2,15875,2015,2.78,3.06,Recovery,-0.721
2015Q3,14477,2015,2.78,2.78,Recovery,-0.737
2015Q4,13502,2015,2.78,2.78,Recovery,-0.645
2016Q1,13354,2016,2.55,2.78,Recovery,-0.435
2016Q2,17051,2016,2.55,2.78,Recovery,-0.4
2016Q3,15484,2016,2.55,2.55,Recovery,-0.375
2016Q4,10007,2016,2.55,2.55,Recovery,0.314
2017Q3,17620,2017,2.26,2.55,Recovery,0.182
2017Q4,18725,2017,2.26,2.55,Recovery,-0.164
2018Q1,17775,2018,2.12,2.26,Recovery,-0.334
2018Q2,21661,2018,2.12,2.26,Recovery,-0.505
2018Q3,19955,2018,2.12,2.12,Recovery,-0.494
2018Q4,19719,2018,2.12,2.12,Recovery,-0.624
2019Q1,19476,2019,1.35,2.12,Recovery,-0.6
2019Q2,23130,2019,1.35,2.12,Recovery,-0.557
2019Q3,23135,2019,1.35,1.35,Recovery,-0.634
2019Q4,20698,2019,1.35,1.35,Recovery,-0.432
2020Q1,20334,2020,1.1,1.35,Post-2015 Boom,-0.182
2020Q2,26637,2020,1.1,1.35,Post-2015 Boom,-0.458
2020Q3,27752,2020,1.1,1.1,Post-2015 Boom,-0.576
2020Q4,29134,2020,1.1,1.1,Post-2015 Boom,-0.587
2021Q1,34087,2021,1.47,1.1,Post-2015 Boom,-0.496
2021Q2,33800,2021,1.47,1.1,Post-2015 Boom,-0.848
2021Q3,25968,2021,1.47,1.47,Post-2015 Boom,-0.725
2021Q4,24495,2021,1.47,1.47,Post-2015 Boom,-0.727
2022Q1,24801,2022,3.73,1.47,Post-2015 Boom,-0.82
2022Q2,23288,2022,3.73,1.47,Post-2015 Boom,-0.843
2022Q3,18421,2022,3.73,3.73,Post-2015 Boom,-0.765
2022Q4,15305,2022,3.73,3.73,Post-2015 Boom,-0.849
2023Q1,18699,2023,4.79,3.73,Post-2015 Boom,-0.864
2023Q2,22254,2023,4.79,3.73,Post-2015 Boom,-0.848
2023Q3,18046,2023,4.79,4.79,Post-2015 Boom,-0.821
2023Q4,24922,2023,4.79,4.79,Post-2015 Boom,-0.415
2024Q1,19497,2024,4.34,4.79,Post-2015 Boom,-0.201
2024Q2,23392,2024,4.34,4.79,Post-2015 Boom,0.469
2024Q3,17153,2024,4.34,4.34,Post-2015 Boom,0.405
2024Q4,1193,2024,,4.34,Post-2015 Boom,0.13
